,number,progress,title,like,contents,answer,category,sday,eday,proponent
8563,248564,청원종료,물가가 너무 비쌉니다,2,솔직히 제 주머니에 돈이 있어도 한끼를 배불리 먹고 살기 어렵습니다 문재인 정부는 내수보급이 안되면 빨리 현실을 깨닫고 빨리 fta 채결해서 싼값에 생필품을 수입이라도 해 주십시오 자기들끼리는 좋은 음식 먹지 않습니까? 아무리 하찮은 국민일지라도 마음속에 양심을 조금이라도 꺼내서 불쌍히 여기시고 보듬어 주시기를 청원드립니다,,반려동물,2018-05-29,2018-06-28,naver
9033,249034,청원종료,개  고양이 식용 금지법을 제정해 주세요,47,반려동물은 현대 사회에서 단순한 가축이 아닌 인간괴의 교감으로 인간의 황폐한 감정과  정신을 풍요하게 하는 반려자이기도합니다.,,반려동물,2018-05-29,2018-06-28,naver
9042,249043,청원종료,개  고양이 식용 금지법을 제정해 주세요,48,개 고암이  식용 금지법을 제정해 주세요.,,반려동물,2018-05-29,2018-06-28,naver
9117,249118,청원종료,반려견을 지켜주세요,4,너무나 나라를 위해 애쓰시는 대통령님을  뵈올때 이런 적은일에 싱경을  어찌 쓰실수 있을까 생각됩니다‥정말 힘들어서 포기하고 싶을때가 많치만 문제인 대통령 님을 뉴스에서뵐때마다 지혜롭고 슬기로우신 분이란것은 깨우칩니다ㆍ앞으로도 어려운일 잘 해쳐나가시고 저도 삶이 힘들지만 더욱 노력할께요ㆍ예쁜 동물들이 매맞고  멍드는것을 보면 너무 인간으로써 맘이 아픕니다‥좋은 선처를 부탁드립니다‥,,반려동물,2018-05-29,2018-06-28,facebook
9831,249832,청원종료,대구 팔공산 유기견 보호센터 도와주세요.,80,"요즘은 동물,자연 모두 소중히 여겨야 하는 시대입니다.
하물며 반려동물이 급증하고 있는데 제대로 된
법하나 없는 현실입니다. 네이버 뉴스에 보니
대구 팔공산 중턱에 위치한 어느 유기견보호센터가
강제 폐쇄조치 명령을 받았다고 하네요. 
불법시설인데다 주민들 민원으로 인해서라는 이유인데..
그럼 그 많고 많은 생명들은 누가 지켜주나요?
지금 유기견을 돌보고 있는 분에게 지원과 도움은
못 줄 망정 강제로 내쫓으려 한다니..차라리 다른곳에
시설을 설치 해 준 후 거처를 옮기라고 하는게 나을듯 합니다.
유기견 또한 우리 사회에서 안고갈 문제인데 이런식으로
해결한다는 것 자체가 실망스럽고 어이가 없네요..
제발 생명들을 보호해주세요..",,반려동물,2018-05-29,2018-06-28,naver
296,250297,청원종료,동물학대법 처벌수위를 증가시켜주세요,28,"반려동물이 급증하는 21세기에 동물학대가 다양한 방법으로 증가하고 있습니다.
기존의 법률에서 새로운 기준범위를 늘려 동물학대 가해자들의 처벌을 높혀주세요",,반려동물,2018-05-29,2018-06-28,naver
475,250476,청원종료,청원목록 최신글을 보기가 너무힘듭니다,1,스크롤내리기가 너무 번거롭습니다. 보기편하도록 바꿔주세요,,반려동물,2018-05-29,2018-06-28,naver
831,250832,청원종료,반려동물 치료비도 국가에서 지원해주세요.,11,"세금으로 사람은 도와주면서 왜 동물은 안 도와주나요?

이건 평등하지 못하다고 봅니다.

국가에서 반려동물 치료비도 지원해주세요.",,반려동물,2018-05-29,2018-06-28,naver
840,250841,청원종료,동물학대처벌 강화 동물 보호법 강화,46,저는 현재 개와 고양이 등 동물을 키우고 있지는 않지만 지금 이 시간에도 어디에선가 동물들이 사람에게 학대를 당한다거나 산 속 깊은 곳에서 투견이라는 것으로 인해 다치고 죽기 직전까지 이르다가 밥도 제대로 못 먹고 제대로 된 치료도 받지못해 일주일도 안되서 죽게되는 것은  명백하게 학대라고 생각합니다 그래서 우리나라도 외국처럼 동물들을 하나의 인격체로 존중해주며 동물학대 처벌이 강화되고 동물보호법이 강화된 나라로 바뀌어야 한다고 생각합니다 그리고 참고자료로 유튜브에 '동물농장 투견'이라고 치면 나오는 영상 한번만 봐주세요 부탁드립니다 가여운 동물들을 살려주세요,,반려동물,2018-05-29,2018-06-28,naver
882,250883,청원종료,[묻묻재업][20만 찍을때까지] 황x미 경찰의 파면을 청원합니다.,25,"밀양 집단 강간 사건을 기억하십니까? 

이때 평생 잊을 수 없는 상처를 받는 피해자를 
우롱하고 모욕감을 주고 가해자를 옹호하던 한 여학생이
2010년에 경찰고시에 여경으로 합격하여 현재 까지 
경찰직으로 성폭력 피해자 여성들을 포함, 국민들의 
세금을 받아가며 직업을 유지하고 있습니다. 

이는 성폭력,성희롱 모든 성적 피해자들을 기만함을 
의미합니다. 아무리 그녀가 제 능력으로 정당하게 
합격했더라도 공직, 그중에 경찰직에는 강간범 가해자를 
옹호하고 피해자들을 우롱했던 사람이 있어서는 
안된다고 생각합니다. 

2015년 충남도청에서는 어떤 이가 일베를 한다는 이유로 소방관 합격생에게 소방관직을 가질 자격이 없다고 검토하여 자진퇴소로 끝났지만 여러 압박을 받고 
자진퇴소 했음이 분명합니다. 

황x미 경찰관은 사람들에게 잊혀지기만을 기다리는 것이 분명합니다. 그렇지 않고서야 어찌 저렇게 뻔뻔하게 경찰직을 버티고 있습니까? 

청와대는 꼭 경찰고시 합격생들의 성적뿐만 아니라 인성까지 판단하여 채용해 주세요. 이미 채용된 경찰관들의 인성 평가도 경찰고시 성적만큼 중요하다고 생각합니다. 

만일 성폭력, 성희롱등 성적 폭력, 모욕감을 받은 이가 
경찰에게 도움을 청할때 집단 강간 가해자를 옹호하고 피해자를 기만하던 경찰관이 있다는 사실을 알게 되면 어떤 기분이고 대한민국에 대해 어떻게 생각을 갖게 되겠습니까?",,반려동물,2018-05-29,2018-06-28,naver
1322,251323,청원종료,유기건을 입양 하는 천사 를 도와 주세요,24,"국민여러분께 간곡히 부탁드립니다 

유기견을 입양을 하여 보호 하는 천사 를 도와 주세요 

http://v.media.daum.net/v/20180529220234179?f=m

유기견을 입양을 하여 보호 하는 천사 를 도와 주세요 

인간을한테 버림 받은  불쌍 한 강아지 들의 후원을 받아 

보호소에서  유기견 보호 자 역할 를하는  찬사를 도와주세여 

유기견 안락사 위기 애 처해 있습 니다 

저는 가톨릭 신자 입니다   .


인간이던 동물이던  이세상 리 태어난 모든 생명 은 고귀하고

소중한  아름 다운  소중한 생명체 입니다 

청원인  가톨릭 신자   안희원 대건안드레아 

서명 간곡히 부탁드립니다",,반려동물,2018-05-30,2018-06-29,facebook
1646,251647,청원종료,일제 치하보다 더 무시무시한 세상에 살고 있네,1,우리는 개네 서울대의 개  아니 서울대라는것은 국민이 세금 걷어 학교를 보내준건데 이사람들이 박종고문 사건을 우상화 하여 다 깨뻥이면서 그걸로 다 해쳐먹고 기관장 다리 다 차지한다는게 말이 되는 것입니까? 지금 우리는 현대식 서울대에 조공바치고 서울대 나왔으면 국민을 위해 봉사하는 자리에 가 앉아 있는게 정상일텐데 계속 국민세금 한번 먹어본 사람들이 더 무섭다고 계속 국민 세금 빨아먹는 자리에 가 앉안 있는게 정상일까요? 우리나라에 핵 떨어져도 괜찮겠네요 현대식 일제치하에서 서울대에서 고문받고 영창가고 삥 뜯기고  완전히 사기아닙니까 우리가 돈 걷어줘서 학교 보내주고 삥 뜯기 설거지 해주고 완전 우리 세금가지고 굴림한다는게 정상적인 사회 인가요? 적당 해쳐드셔야지 이게 말이 되는 공식인가요?? 한번 묻고 싶네요 완전히 일제 치하보다 더 무서운 세계 살고 있습니다.  과연 이게 맞는걸까요? 왜 우리는 우상화에 빠져있는 걸까요? 솔직히 이거 김일성 보다 더 우상주의에 빠져서 살고 있습니다. 무섭습니다. 이게 말이나 되는겁니까?,,반려동물,2018-05-30,2018-06-29,facebook
1709,251710,청원종료,아파트 복도에서 개를 풀어놓으시는 분들,0,"아파트 복도에 개를 풀어놓으시는 분들 때문에 불편을 겪고있는 사람입니다. 복도에서 장난감을 물고 뛰어다니며 놀고, 현관앞이나 복도 중간에 오줌을 누고 주인이 바로 치우는 것이 아니다 보니 직접 물을 뿌리고 청소한 적이 많습니다.  모르는 사람을 보면 경계하며 짖어서 저도 물릴까 경계하며 집에 들어간 적이 많아요. 이웃에게 직접 말을 해보아도 그때뿐이고 또 복도에 내놓내요. 아파트에 반려동물에 관한 기본 수칙을 아파트 내에 붙여달라고도 했지만 전혀 조치를 않하기에 이렇게 올립니다. 반려동물에 관한 여러가지 규칙을 지키지 않을 시 법적으로 해결할 수 있도록 관련된게 많아졌으면 합니다.",,반려동물,2018-05-30,2018-06-29,naver
1739,251740,청원종료,KBO 10개 구단 해체 요청,3,"두산-범죄
넥센-잘 아시듯이^^
SK-비인기구단
NC-비인기구단
LG-DTD(down team down)
삼성-도박
KIA-약물
KT-범죄선수옹호
한화-희망고문
롯데-희망없음",,반려동물,2018-05-30,2018-06-29,naver
1742,251743,청원종료,폼페이오가 가만있으라는데 왜 몰래 월북함?,5,해명하자,,반려동물,2018-05-30,2018-06-29,naver
1755,251756,청원종료,이럴거면 싹다 무고죄로 고소 못하게 해라,5,고소민국 ^오^,,반려동물,2018-05-30,2018-06-29,naver
1758,251759,청원종료,국내도 미국 처럼 총기 합법화.,4,"날씨가 따듯해 지면서 강 주변으로 산책을 하게 되면
생각 보다 많은 사람이 애완동물을 풀어 놓고 산책을 하거나 대형견을 산책 시키는데
생명에 위협을 느낍니다. 미국 처럼 총기 합법화와 소지를 허용해서 위험이 발생하면
즉각적으로 대응할수 있게 만들어 주셧으면 좋겠습니다.",,반려동물,2018-05-30,2018-06-29,naver
1799,251800,청원종료,반려동물 의료보험 적용 시급합니다~부탁드려요 저희 강아지가 아파요,7,"서로들 말뿐인 반려동물 의료보험 적용 빨리 보험 혜택을 받을 수 있었으면 좋겠어요ㅠ
저희 강아지가  아파요ㅠ 병원비가 비싸 병원에 가지 못해 더 큰 병을 얻었습니다 ᆢ제 잘 못이긴 하지만 동물병원 진료비가 턱 없이 비싸 갈 엄두가 안나요ᆢ진짜 키우기 힘든 사람들은 강아지를 버리거나 방치하여 살아가기 힘든 애견들이 너무 많습니다  너무 불쌍해요 이쁘다고 어린 강아지를 데려와 병 걸리고 학대받아 아픈 동물들이 바깥으로 전전하며 떠돌아 차에 치어 길거리에서 불쌍하게 죽어 가고 있습니다 ᆢ도와주세요 
저희 아들도 아파서 병원비를 대야 되는데 보험혜택을 못받아 부부가 열심히 벌어 아들 병원비 보태는데도 빠듯한대 반려견도 아파 병원에  가려니 수술비가  오십이상 나온다네요 어떻게 해야 되나 이런저런 생각이 많이 듭니다 ᆢ제발 우리 반려견들도 아플때 병원에 가서 치료 받을 수 있는 세상이 빨리 왔으면 좋겠어요 ᆢ제발 제발 도와주세요",,반려동물,2018-05-30,2018-06-29,naver
1803,251804,청원종료,반려동물 의료보험 적용 시급합니다~부탁드려요 저희 강아지가 아파요,18,"서로들 말뿐인 반려동물 의료보험 적용 빨리 보험 혜택을 받을 수 있었으면 좋겠어요ㅠ
저희 강아지가  아파요ㅠ 병원비가 비싸 병원에 가지 못해 더 큰 병을 얻었습니다 ᆢ제 잘 못이긴 하지만 동물병원 진료비가 턱 없이 비싸 갈 엄두가 안나요ᆢ진짜 키우기 힘든 사람들은 강아지를 버리거나 방치하여 살아가기 힘든 애견들이 너무 많습니다  너무 불쌍해요 이쁘다고 어린 강아지를 데려와 병 걸리고 학대받아 아픈 동물들이 바깥으로 전전하며 떠돌아 차에 치어 길거리에서 불쌍하게 죽어 가고 있습니다 ᆢ도와주세요 
저희 아들도 아파서 병원비를 대야 되는데 보험혜택을 못받아 부부가 열심히 벌어 아들 병원비 보태는데도 빠듯한대 반려견도 아파 병원에  가려니 수술비가  오십이상 나온다네요 어떻게 해야 되나 이런저런 생각이 많이 듭니다 ᆢ제발 우리 반려견들도 아플때 병원에 가서 치료 받을 수 있는 세상이 빨리 왔으면 좋겠어요 ᆢ제발 제발 도와주세요",,반려동물,2018-05-30,2018-06-29,naver
1821,251822,청원종료,김원진을 처벌해주세요,3,뒤통수가 시큰거립니다,,반려동물,2018-05-30,2018-06-29,naver
1890,251891,청원종료,우리집 집값좀 올려줘,0,지방 차별하냐?,,반려동물,2018-05-30,2018-06-29,naver
1897,251898,청원종료,부엉이가 우는소리는?,2,우-흥,,반려동물,2018-05-30,2018-06-29,naver
1908,251909,청원종료,청와대에 양성준의 해명을 적극 요청합니다.,4,"양성준의 2017년 4월 21일 행적에 대한 해명을 강력하게 요청합니다!

또 위의 사건을 묻으려는 정부를 강력히 규탄합니다!!

양성준은 2017년 4월 21일 그의 행적에 대해 일언반구도 없이 해명을 거부하고 있습니다.

대한민국 국민의 알 권리를 보장해주십시오.",,반려동물,2018-05-30,2018-06-29,facebook
1951,251952,청원종료,던전앤파이터의 펫인 이그니스의 시세를 바로잡아주세요,2,너무비쌉니다 바로잡아주세요,,반려동물,2018-05-30,2018-06-29,naver
1994,251995,청원종료,친구를 만들어 주세요.,0,"저는 친구가 없습니다. 친구를 너무 사귀고 싶어 여기에 글을 올리게 되었습니다. 말동무도 괜찮고, 카톡친추만 해도 괜찮으니, 저에게 친구를 만들어 주십시오.",,반려동물,2018-05-30,2018-06-29,naver
2005,252006,청원종료,반려동물 사료와 간식을 나라에서 지원해주십시요,1,멍멍,,반려동물,2018-05-30,2018-06-29,naver
2057,252058,청원종료,섬머는 kt가 우승하게 해주세요,1,코돈빈 성불 가즈아,,반려동물,2018-05-30,2018-06-29,naver
2074,252075,청원종료,청와대갤러리에 문재인 사진좀 내려주세요,7,밥먹으면서 갤질하는데 밥맛떨어져요.,,반려동물,2018-05-30,2018-06-29,naver
2096,252097,청원종료,개식용 나비탕을 없애주세요,22,"성남시 모란시장 내에 있는
서울축산에서 살아있는 개를 전시하고
사람들 보는 앞에서 무자비하게 끌고가 도살합니다. 
냄새 소음 악취때문에 미치겠어요 
무서워서 모란시장 근처를 못갑니다 
애들데리고도 시장 못갑니다.
개도살은 불법아닌가요? 
제발 개고기  파는곳좀 단속해서 없애주세요..",,반려동물,2018-05-30,2018-06-29,twitter
2108,252109,청원종료,문재인 vs 홍준표 복싱으로 한번 붙어봅시다,9,선거는 이니가 이겼지만 과연 링에서는 어떨까,,반려동물,2018-05-30,2018-06-29,naver
2157,252158,청원종료,귀여운 동혁이를 애완동물로 키울 수 있게 해주세요,2,밥도 잘주고 산책도 매일 시킬게요 제발요ㅠ,,반려동물,2018-05-30,2018-06-29,facebook
2159,252160,청원종료,일반인 우재민 퇴실을 청원합니다,3,ㅈㄱㄴ,,반려동물,2018-05-30,2018-06-29,naver
2277,252278,청원종료,6시간뒤 숙성해둔 연어장 확인하기,0,꼭 확인하기,,반려동물,2018-05-30,2018-06-29,naver
2321,252322,청원종료,여기가 국립야구갤러리인가,2,분위기가 고급스럽군,,반려동물,2018-05-30,2018-06-29,naver
2336,252337,청원종료,롤 엘리스 버프좀 시켜주세요,1,"한때 내 주챔이였는데 관짝에 들어간 모습이 마치 노짱같네요
그분은 부활했는데 우리 엘리스는 언제 관짝에서 나올까",,반려동물,2018-05-30,2018-06-29,naver
2359,252360,청원종료,이거 하는 놈들 특징,10,애국보수 나라의 중심,,반려동물,2018-05-30,2018-06-29,naver
2393,252394,청원종료,서울대 연세대 고려대 9등급전형도 만들어주세요,1,모든과목 9등급도 재능이다 ㅇㅈ?,,반려동물,2018-05-30,2018-06-29,naver
2525,252526,청원종료,게시판 알바 해고 요청합니다,1,"광역삭제 그만좀..
알바형님 누나 제발ㅠ",,반려동물,2018-05-30,2018-06-29,naver
2549,252550,청원종료,배고프지않냐 너거들?,1,"나도 배고프다

저녁메뉴 추천받는다..",,반려동물,2018-05-30,2018-06-29,naver
2605,252606,청원종료,워썬더 M1 에이브럼스 하향시켜주세요,1,"얼마전 T-64B를 출고하였으나 M1 에이브럼스의 막강한 사기력에 도저히 게임을 할 수 없습니다.

지병인 분노조절장애로 인해 도저히 게임을 할 수 없을지경입니다.

하향좀 시켜주세요",,반려동물,2018-05-30,2018-06-29,naver
2618,252619,청원종료,안녕하세요? 소통해요 ^^,2,반갑습니다 점심식사들은 하셨나요?,,반려동물,2018-05-30,2018-06-29,naver
2649,252650,청원종료,'대중' 이라는 단어가 들어가는 모든 상호명을 폐기해주세요,4,이건 돌아가신 전 대통령 김대중 대통령님을 모욕하는 언어입니다 폐기 부탁드립니다,,반려동물,2018-05-30,2018-06-29,naver
2672,252673,청원종료,임영우 여자친구 생기게 해주세요,0,잘생긴친구에요,,반려동물,2018-05-30,2018-06-29,facebook
2701,252702,청원종료,5월23일을 국경일로 지정해주세요,1,너무나 중대한 날입니다 제발 국경일로 지정하여 추모하도록 합시다,,반려동물,2018-05-30,2018-06-29,naver
2818,252819,청원종료,강아지공장 금지 및 처벌 입법을 청와대가 도와주세요,8,"이미 사회적으로 이슈가 된지가 한참이나 되었고 문제의 심각성이 매우 중대하다고 생각합니다만, 어찌 정부는 아직까지도 아무런 움직임이 없습니까? 동물보호법과 관련된 법률들을 정부차원에서 살펴주세요",,반려동물,2018-05-30,2018-06-29,naver
2825,252826,청원종료,독수리의 부리는 왜 노랄까?,0,그 사실은 아직 밝혀지지 못했습니다.,,반려동물,2018-05-30,2018-06-29,facebook
2841,252842,청원종료,보신탕 왜 쳐 짜르냐,0,뭐 우리나라 에서  보신탕 불법임??,,반려동물,2018-05-30,2018-06-29,naver
2849,252850,청원종료,전 국민이 배틀그라운드를 할수있게 양질의 컴퓨터를 보급해주세요,2,넹,,반려동물,2018-05-30,2018-06-29,naver
2897,252898,청원종료,한국을 미국의 52번째 주로 트각하께 바쳐주세요,1,북괴와 연방제 통일되느니 미국의 개가 되고싶습니다!,,반려동물,2018-05-30,2018-06-29,twitter
2900,252901,청원종료,청원갤러리 공식인정해주신 갤주님 지지합니다.,2,원래는 싫어햇는데요 이제부턴 좋아해보려구요,,반려동물,2018-05-30,2018-06-29,naver
2937,252938,청원종료,애드블록으로 페이지 상단에 있는 놈 쌍판 좀 치우는거 가능하게 해주십셔,1,불편하네여,,반려동물,2018-05-30,2018-06-29,twitter
3046,253047,청원종료,카트라이더 ★주소★ 길드원 모집합니다,2,기록텟 //  주소길드원 아무나 친추주세요,,반려동물,2018-05-30,2018-06-29,naver
3327,253328,청원종료,매번 똥게임을 찍어내는 게임프리크를 없애주세요,0,"저희는 더이상 포켓몬스터 프랜차이즈가 망가지는걸 눈뜨고 못봅니다

게임프리크 일원들을 사임시키고 닌텐도 본사로 포켓몬스터 개발을 넘겨주십시오",,반려동물,2018-05-30,2018-06-29,naver
3511,253512,청원종료,길거리 개는 유기견 보호소로 가야합니다(긴급!),7,"길거리에서 떠돌덩 강아지가 푸른기와를 가진 집에서 사란인마냥 눌러앉아 있는데 돈과 식량이 너무 아깝습니다...
사람은 사람답게 강아지는 개답게 알맞은 곳에서 살아야 합니다!  푸른기와집에 사는 강아지를 유기견 보호소로 보내주세요...이건 아니잖아요 좀",,반려동물,2018-05-30,2018-06-29,naver
3700,253701,청원종료,북한이 나라입니까?,0,거긴 정글입니다 동물이많습니다만?,,반려동물,2018-05-30,2018-06-29,naver
4077,254078,청원종료,동물실험에 반대하며 실효성 있는 동물복지법을 청원합니다.,28,"동물실험에 반대하며 실효성 있는 동물복지법을 청원합니다.

동물실험에 반대합니다.

1)  동물실험이 매우 잔인합니다. 대부분 동물실험에 척추동물이 이용되는데, 이들 동물도 고통을 감지하는 감각이 인간과 동일합니다. 현재는 인간의 질병치료 목적으로 대부분의 동물실험이 이루어지는데, 인간과 동물이 공유하는 질병이 1.16%에 불과하므로 동물 실험으로 인한 결과가 인간에게 그대로 적용될 수는 없습니다. 

2) 동물실험이 오히려 인간에게 득이 아닌 해가 되기도 합니다. 지사제인 클리오퀴놀은 쥐, 고양이, 개 등을 대상으로 한 실험을 통과해서 인간에게 사용할 수 있도록 허가되었습니다. 그러나 일본에서 이 약을 먹은 1만 명이 시력상실·장애와 마비 증상을 겪었고, 수백 명은 사망했습니다. 임산부의 입덧을 완화하는 목적으로 시판된 ‘탈리도마이드’ 역시 동물실험을 통해 허가되었지만 전세계적으로 손과 발이 기형이거나 절단된 기형아가 수만명 탄생되었고, 5000-6000명의 아이가 사망했습니다. 

3) 페니실린의 사례를 보면 동물실험을 반대하는 근거가 됩니다. 알렉산더 플레밍은 항생제인 페니실린을 발견한 덕분에 노벨상을 수상했으며, 페니실린으로, 인간은 질병에서 해방되었습니다. 그런데 페니실린이 쥐에게는 사지 기형을 유발한다고 합니다. 그래서 플레밍은 동물실험을 하지 않은게 다행이라고 늘 말했다고 합니다. 

실효성 있는 동물복지법을 청원합니다. 

1) 우리나라는 자주 구제역이나 조류독감이 발생합니다. 이런 데는 공장형 축산이 일조를 하고 있다고 생각합니다. 공장형 축산의 새끼 생산용 돼지는 자기 몸을 뒤집지도 못할 정도의 작은 공간에 갇혀서 일생을 보냅니다. 새끼가 탄생하면 같은 공간에서 지내지 못하고 새끼가 젖을 뗄 때까지 옆의 공간에서 젖만 먹이고 어루만져주지도 핥아주지도 못한다고 합니다. 어미 돼지가 사는 공간이 너무 협소해서 아기돼지를 뭉개어 죽일까봐 그런다고 합니다. 돼지는 지능이 매우 좋은 동물입니다. 모성애도 엄청나다고 합니다. 중요한 것은 돼지는 이런 공장형 축산에 적응되게 태어나지 않았다는 점입니다. 평생 그렇게 지내야 하는 돼지, A4한장 정도의 공간에서 사육되는 닭 역시 매우 고통을 느낍니다. 그런 고기를 소비하는 인간의 건강을 위해서라도 실효성 있는 동물복지법을 시행하여서, 동물이 스트레스 없이 건강하게 살 수 있는 공간을 각 동물에 맞게 정부에서 제시하여 주십시오. 사육농가가 그런 환경 속에서 동물을 사육하는지 정부 당국에서는 지속적으로 관리감독하여 주세요.

동물실험 반대와 실효성 있는 동물복지법은 우리 인간에게 꼭 필요한 것입니다. 이 글을 보시고 청원에 같이 참여해주시기를 간곡히 부탁드립니다.

저는 고등학교 1학년 여고생입니다. 제발제발 청원에 동참해주세요.",,반려동물,2018-05-30,2018-06-29,naver
4092,254093,청원종료,동물보호법 더 강력히 해주세요,11,우리나라 법이 제일 안좋은건 국민뿐만 아니라 청와대 사람들도 알것입니다. 권력이 전부인 세상인데 강아지들은 사람이랑 달라서 말도 못하고 사람 법만 따지지말고 동물보호법 더 강력하게 해주세요. 요즘 강아지.고양이 뿐만 아니라 다른동물들 또한 폭행당하고 있습니다. 동물들은 말도 못하는 생명입니다. 사람은 살려달라는말을 할수 있지만 동물들은 몸부림 쳐도 그 몸부림을 사람들은 봐주지않아요. 동물보호법 처벌 늘려주세요. 벌금 뿐만 아니라 징역도 들어가도 용서받지 못할사람들이예요. 한 생명을 무시하지말아주세요. 국민을 위한 일이라면 국민을 위해 해주세요.,,반려동물,2018-05-30,2018-06-29,facebook
4140,254141,청원종료,멍멍,3,으르르 왈왈,,반려동물,2018-05-30,2018-06-29,naver
4147,254148,청원종료,히오스 의문화 시켜주세요,1,"고등교육에 Heroes of the storm(이하 히오스)의 게임 플레이 의무화를 시켜주세요

히오스 하는 사람들이 너무 멍청해서 뇌가 있나 싶을 정도로 못합니다.

공상당 게임에 맞게 혼자 열심히 해봤자 바보같은애 한명 있으면

그냥 게임터집니다... 이런 애들이 고등 교육을 받았나 의심되더군요

그래서 고등 교육 시간에 히오스를 강제 의무화를 추진합니다.

많은 사람들과 시공에서 재미난 게임을 위해서 의무화 시켜야합니다.",,반려동물,2018-05-30,2018-06-29,facebook
4198,254199,청원종료,친구좀 만들어 주세요,2,"밥도 혼자 먹고

게임도 혼자 하고

학교에서도 항상 혼자 다녀서 너무 외로워요

친구좀 만들어 주세요

나랑 친구 할 사람 ??",,반려동물,2018-05-30,2018-06-29,facebook
4238,254239,청원종료,얘들아~나도이름이문재인이야~하고싶은말해봐~,1,다들어볼께,,반려동물,2018-05-30,2018-06-29,naver
4325,254326,청원종료,동물 실험 반대합니다. 사람 사체로 해부해요,9,"동물들 도축 과정을 바꿔 주세요
잔인하게 도축 하지 말고,
비글 실험도 금지합시다.
실험 하려면 사체 기부로 해주세요.
반려동물 운동장도 많이 만들어주세요
한강공원에 울타리 설치해서 소형견, 중형견, 대형견 분류해서 놀면 되지 않습니까
문재인 씨, 공약에 반려동물 복지 하신다고 하셨죠
애견 운동장 많이 만들어주세요.",,반려동물,2018-05-30,2018-06-29,facebook
4339,254340,청원종료,너무 많은 사람들에게 신세를 졌다.,1,"너무 많은 사람들에게 신세를 졌다


나로 말미암아 여러 사람이 받은 고통이 너무 크다.
앞으로 받을 고통도 헤아릴 수가 없다.


여생도 남에게 짐이 될 일 밖에 없다.
건강이 좋지 않아서 아무 것도 할 수가 없다.


책을 읽을 수도 글을 쓸 수도 없다.

너무 슬퍼하지 마라.

삶과 죽음이 모두 자연의 한 조각 아니겠는가?

미안해하지 마라.
누구도 원망하지 마라.
운명이다.
 
화장해라.

그리고 집 가까운 곳에 아주 작은 비석 하나만 남겨라

 

오래된 생각이다.",,반려동물,2018-05-30,2018-06-29,naver
4388,254389,청원종료,비둘기 키울수있게 해주세요,1,비둘기튀김 먹고싶다,,반려동물,2018-05-30,2018-06-29,facebook
4472,254473,청원종료,고양이 기르고 싶어요,1,"근데 돈도 없고 아는 것도 없어요

5천만원만 지원해주세요",,반려동물,2018-05-30,2018-06-29,naver
4482,254483,청원종료,김정은이 쎄냐 문재인이 쎄냐,2,누가 더 쎄냐? 그래봤자 트럼프한테는 상대도 안되지?,,반려동물,2018-05-30,2018-06-29,naver
4571,254572,청원종료,서승원군의 페이스북메시지 차단을 풀어주십시오,0,서승원군이 페이스북메시지를 차단하여 코인노래방을 못가고있습니다 국정원에서 해킹하여 차단을풀어주십시오,,반려동물,2018-05-30,2018-06-29,naver
4583,254584,청원종료,질문이 있습니다,0,"언제까지 올려야 1절까지만 하는 인싸인가요?
아 이미 늦었나",,반려동물,2018-05-30,2018-06-29,naver
4595,254596,청원종료,서승원군의 페이스북메시지 차단을 풀어주십시오,0,코노가고싶은데 연락이안됩니다,,반려동물,2018-05-30,2018-06-29,naver
4714,254715,청원종료,[판매글] 방금 끓인 라면 팝니다,0,"신라면으로 끓였구요

건데기로는 계란 파 마늘 양파 듬뿍 넣고 끓였습니다

야참으로 먹으려고 했는데 갑자기 속이 안좋아서 한입먹고

내놓습니다 .. 청와대 앞에서만 직거래 하구요

현장네고 불가능 합니다

현장네고시 그냥 제가 먹겠습니다

그럼 연락 부탁드려요",,반려동물,2018-05-30,2018-06-29,naver
4822,254823,청원종료,제 친구 장휘가 1년 일했는데 퇴직금을 못 받는데요,2,"1년 일했는데 퇴직금을 못 준다네요
자세한건 모르겠고 나라에서 책임 좀 져주세요",,반려동물,2018-05-30,2018-06-29,naver
4891,254892,청원종료,금요일을 공휴일로 지정해주세요.,1,"아 짜증나네요
나도 놀러좀가자고",,반려동물,2018-05-30,2018-06-29,naver
5047,255048,청원종료,야 뭐시켜먹을까,7,교촌 땡기는데 동의?,,반려동물,2018-05-30,2018-06-29,naver
5064,255065,청원종료,이겼닭,0,오늘 저녘은 치킨이닭,,반려동물,2018-05-30,2018-06-29,naver
5092,255093,청원종료,사람에게 피해를 입힌 애견의 견주들을 사법적으로 처벌해 주세요.,1,-> 피해를 입혀도 나몰라라 입니다.,,반려동물,2018-05-30,2018-06-29,naver
5267,255268,청원종료,저는 붕어에오,4,"유치원 가는길에 제가 가장 좋아하는 렁이를 봤어요..
아빠는 먹으면 아야한다햇지만
전 이게 너무 먹고싶어오",,반려동물,2018-05-30,2018-06-29,naver
5321,255322,청원종료,더불어민주당애들,0,북한의 개 인가요?,,반려동물,2018-05-30,2018-06-29,naver
5381,255382,청원종료,사랑해요 노무현,2,사랑해요 노무현!,,반려동물,2018-05-31,2018-06-30,naver
